Date,PM2.5
2020/10/14,67
2020/10/15,97
2020/10/16,78
2020/10/17,73
2020/10/18,74
2020/10/19,66
2020/10/20,37
2020/10/21,43
2020/10/22,58
2020/10/23,74
2020/10/24,72
2020/10/25,75
2020/10/26,75
2020/10/27,77
2020/10/28,74
2020/11/30,104
2020/12/1,132
2020/12/2,128
2020/12/3,105
2020/12/4,81
2020/12/5,84
2020/12/6,94
2020/12/7,117
2020/12/8,148
2020/12/9,130
2020/12/14,546
2020/12/15,139
2020/12/16,52
2020/12/17,56
2020/12/18,79
2020/12/19,60
2020/12/21,108
2020/12/22,113
2020/12/23,61
2020/12/24,55
2020/12/25,54
2020/12/26,91
2020/12/27,92
2020/12/28,87
2020/12/29,79
2020/12/30,73
2020/12/31,107
2021/1/1,69
2021/1/2,56
2021/1/3,297
2020/7/1,54
2020/7/2,54
2020/7/3,54
2020/7/4,60
2020/7/5,60
2020/7/6,60
2020/7/7,56
2020/7/8,51
2020/7/9,41
2020/7/10,52
2020/7/11,52
2020/7/12,50
2020/7/13,52
2020/7/14,49
2020/7/15,54
2020/7/16,55
2020/7/17,49
2020/7/18,31
2020/7/20,51
2020/7/21,64
2020/7/22,53
2020/7/23,52
2020/7/24,55
2020/7/25,56
2020/7/26,48
2020/7/27,57
2020/7/28,57
2020/7/29,37
2020/7/30,48
2020/7/31,37
2020/8/1,35
2020/8/2,19
2020/8/3,29
2020/8/4,49
2020/8/5,27
2020/8/6,34
2020/8/7,48
2020/8/8,55
2020/8/9,53
2020/8/10,53
2020/8/11,51
2020/8/12,54
2020/8/13,42
2020/8/14,24
2020/8/15,36
2020/8/16,50
2020/8/17,38
2020/8/18,42
2020/8/19,46
2020/8/20,49
2020/8/21,56
2020/8/22,49
2020/8/23,61
2020/8/24,56
2020/8/25,56
2020/8/26,64
2020/8/27,57
2020/8/28,47
2020/8/29,47
2020/8/30,57
2020/8/31,54
2020/9/1,65
2020/9/2,63
2020/9/3,62
2020/9/4,67
2020/9/5,58
2020/9/6,33
2020/9/7,57
2020/9/8,72
2020/9/9,59
2020/9/10,47
2020/9/11,61
2020/9/12,58
2020/9/13,58
2020/9/14,57
2020/9/15,62
2020/9/16,46
2020/9/17,50
2020/9/18,64
2020/9/19,58
2020/9/20,51
2020/9/21,41
2020/9/22,52
2020/9/23,59
2020/9/24,68
2020/9/25,69
2020/9/26,62
2020/9/27,68
2020/9/28,74
2020/9/29,70
2020/9/30,59
2020/4/1,65
2020/4/2,67
2020/4/3,44
2020/4/4,51
2020/4/5,62
2020/4/6,52
2020/4/7,50
2020/4/8,33
2020/4/9,42
2020/4/10,45
2020/4/11,54
2020/4/12,60
2020/4/13,52
2020/4/14,60
2020/4/15,77
2020/4/16,68
2020/4/17,46
2020/4/18,60
2020/4/19,62
2020/4/20,68
2020/4/21,63
2020/4/22,57
2020/4/23,38
2020/4/24,33
2020/4/25,56
2020/4/26,61
2020/4/27,66
2020/4/28,71
2020/4/29,55
2020/4/30,63
2020/5/1,64
2020/5/2,66
2020/5/3,64
2020/5/4,47
2020/5/5,43
2020/5/6,48
2020/5/7,43
2020/5/8,38
2020/5/9,51
2020/5/10,54
2020/5/11,57
2020/5/12,61
2020/5/13,61
2020/5/14,63
2020/5/15,67
2020/5/16,73
2020/5/17,64
2020/5/18,59
2020/5/19,60
2020/5/20,80
2020/5/21,71
2020/5/22,71
2020/5/23,57
2020/5/24,48
2020/5/25,36
2020/5/26,40
2020/5/27,56
2020/5/28,57
2020/5/29,45
2020/5/30,51
2020/5/31,52
2020/6/1,59
2020/6/2,56
2020/6/3,48
2020/6/4,39
2020/6/5,52
2020/6/6,57
2020/6/7,57
2020/6/8,61
2020/6/9,65
2020/6/10,59
2020/6/11,54
2020/6/12,59
2020/6/13,54
2020/6/14,53
2020/6/15,55
2020/6/16,62
2020/6/17,72
2020/6/18,67
2020/6/19,57
2020/6/20,56
2020/6/21,46
2020/6/22,55
2020/6/23,65
2020/6/24,60
2020/6/25,47
2020/6/29,52
2020/6/30,51
2020/1/1,34
2020/1/2,18
2020/1/3,18
2020/1/4,49
2020/1/5,62
2020/1/6,78
2020/1/7,17
2020/1/8,20
2020/1/9,27
2020/1/10,47
2020/1/11,103
2020/1/12,123
2020/1/13,134
2020/1/14,133
2020/1/15,152
2020/1/16,154
2020/1/17,96
2020/1/18,102
2020/1/19,91
2020/1/20,65
2020/1/21,42
2020/1/22,49
2020/1/23,70
2020/1/24,59
2020/1/25,70
2020/1/26,110
2020/1/27,128
2020/1/28,153
2020/1/29,116
2020/1/30,51
2020/1/31,15
2020/2/1,29
2020/2/2,49
2020/2/3,52
2020/2/4,53
2020/2/5,45
2020/2/6,61
2020/2/7,66
2020/2/8,62
2020/2/9,64
2020/2/10,73
2020/2/11,82
2020/2/12,106
2020/2/13,75
2020/2/14,71
2020/2/15,80
2020/2/16,77
2020/2/17,61
2020/2/18,86
2020/2/19,87
2020/2/20,95
2020/2/21,79
2020/2/22,51
2020/2/23,41
2020/2/24,42
2020/2/25,49
2020/2/26,62
2020/2/27,64
2020/2/28,57
2020/2/29,64
2020/3/1,56
2020/3/2,64
2020/3/3,119
2020/3/4,102
2020/3/5,76
2020/3/6,65
2020/3/7,48
2020/3/8,71
2020/3/9,68
2020/3/10,67
2020/3/11,50
2020/3/12,70
2020/3/13,59
2020/3/14,68
2020/3/15,69
2020/3/16,45
2020/3/17,26
2020/3/18,41
2020/3/19,55
2020/3/20,53
2020/3/21,50
2020/3/22,73
2020/3/23,63
2020/3/24,55
2020/3/25,62
2020/3/26,57
2020/3/27,58
2020/3/28,59
2020/3/29,66
2019/10/1,9
2019/10/2,7
2019/10/3,4
2019/10/4,13
2019/10/5,26
2019/10/6,51
2019/10/7,45
2019/10/8,40
2019/10/9,45
2019/10/10,79
2019/10/11,48
2019/10/12,60
2019/10/13,56
2019/10/14,57
2019/10/15,67
2019/10/16,61
2019/10/17,69
2019/10/18,71
2019/10/19,69
2019/10/20,90
2019/10/21,67
2019/10/22,39
2019/10/23,50
2019/10/24,38
2019/10/25,59
2019/10/26,73
2019/10/27,60
2019/10/28,81
2019/10/29,110
2019/10/30,109
2019/10/31,104
2019/11/1,59
2019/11/2,10
2019/11/3,85
2019/11/4,80
2019/11/5,80
2019/11/6,78
2019/11/7,78
2019/11/8,85
2019/11/9,90
2019/11/10,86
2019/11/11,101
2019/11/12,93
2019/11/13,92
2019/11/14,95
2019/11/15,82
2019/11/16,93
2019/11/17,108
2019/11/18,103
2019/11/19,134
2019/11/20,155
2019/11/21,156
2019/11/22,154
2019/11/23,152
2019/11/24,151
2019/11/25,153
2019/11/26,114
2019/11/27,74
2019/11/28,58
2019/11/29,78
2019/11/30,43
2019/12/1,22
2019/12/2,18
2019/12/3,77
2019/12/4,128
2019/12/5,84
2019/12/6,40
2019/12/7,69
2019/12/8,72
2019/12/9,107
2019/12/10,99
2019/12/11,107
2019/12/12,118
2019/12/13,78
2019/12/14,24
2019/12/15,24
2019/12/16,62
2019/12/17,90
2019/12/18,156
2019/12/19,163
2019/12/20,175
2019/12/21,164
2019/12/22,158
2019/12/23,95
2019/12/24,40
2019/12/25,15
2019/12/26,41
2019/12/27,50
2019/12/28,37
2019/12/29,84
2019/7/1,41
2019/7/2,24
2019/7/3,41
2019/7/4,30
2019/7/5,36
2019/7/6,38
2019/7/7,34
2019/7/8,30
2019/7/9,32
2019/7/10,46
2019/7/11,37
2019/7/12,12
2019/7/13,26
2019/7/14,29
2019/7/15,40
2019/7/16,19
2019/7/17,28
2019/7/18,19
2019/7/19,23
2019/7/20,37
2019/7/21,34
2019/7/22,40
2019/7/23,56
2019/7/24,46
2019/7/25,39
2019/7/26,20
2019/7/27,37
2019/7/28,42
2019/7/29,36
2019/7/30,61
2019/7/31,70
2019/8/1,49
2019/8/2,35
2019/8/3,39
2019/8/4,42
2019/8/5,15
2019/8/6,17
2019/8/7,15
2019/8/8,15
2019/8/9,29
2019/8/10,28
2019/8/11,34
2019/8/12,22
2019/8/13,24
2019/8/14,28
2019/8/15,40
2019/8/16,39
2019/8/17,43
2019/8/18,17
2019/8/19,12
2019/8/20,25
2019/8/21,53
2019/8/22,36
2019/8/23,53
2019/8/24,41
2019/8/25,37
2019/8/26,26
2019/8/27,30
2019/8/28,39
2019/8/29,48
2019/8/30,24
2019/8/31,34
2019/9/1,26
2019/9/2,41
2019/9/3,41
2019/9/4,31
2019/9/5,24
2019/9/6,44
2019/9/7,15
2019/9/8,11
2019/9/9,14
2019/9/10,20
2019/9/11,18
